Equipment_ID,Type,Age_in_years,Usage_hours_per_day,Last_Maintenance_Date,Breakdown_Count,Vibration_Index,Temperature_Score,Error_Log_Frequency,Maintenance_Needed
E0054,Ventilator,3,8.07,2025-03-24 17:52:38.904066,1,0.59,32.87,1,0
E0055,MRI,0,11.18,2024-12-17 17:52:38.904066,1,0.79,45.88,1,1
E0056,Ventilator,0,5.36,2025-01-25 17:52:38.904066,1,0.01,27.75,1,1
E0057,Ultrasound,8,16.0,2024-11-01 17:52:38.904066,1,0.31,20.61,1,1
E0058,ECG,3,11.97,2024-08-29 17:52:38.904066,0,0.42,20.95,0,1
E0059,MRI,6,13.68,2025-02-08 17:52:38.904066,0,0.69,58.62,0,1
E0060,Ultrasound,7,1.93,2025-04-04 17:52:38.904066,4,0.44,57.12,2,1
E0061,MRI,7,9.06,2024-09-10 17:52:38.904066,0,0.48,58.42,0,1
E0062,MRI,5,13.98,2024-08-09 17:52:38.904066,2,0.76,38.31,3,1
E0063,Ventilator,5,5.11,2025-06-12 17:52:38.904066,2,0.24,58.67,1,0
E0064,ECG,3,16.94,2025-06-12 17:52:38.904066,1,0.31,21.71,0,1
E0065,ECG,9,18.38,2025-03-22 17:52:38.904066,1,0.68,66.61,2,1
E0066,ECG,6,0.14,2025-06-12 17:52:38.904066,1,0.76,37.98,3,1
E0067,MRI,2,7.73,2025-07-24 17:52:38.904066,1,0.58,64.16,2,1
E0068,MRI,3,3.15,2024-09-21 17:52:38.904066,0,0.44,60.67,3,1
E0069,MRI,9,1.16,2025-01-03 17:52:38.904066,1,0.71,57.92,2,1
E0070,Ventilator,12,5.31,2024-10-31 17:52:38.904066,3,0.31,63.88,0,1
E0071,ECG,3,14.84,2025-05-14 17:52:38.904066,1,0.33,35.16,1,0
E0072,Ultrasound,7,5.17,2024-08-06 17:52:38.904066,2,0.19,21.58,2,1
E0073,ECG,5,9.75,2024-12-04 17:52:38.904066,0,0.35,59.65,0,1
E0074,Ultrasound,2,16.06,2025-01-27 17:52:38.904066,2,0.13,24.42,1,1
E0075,Ultrasound,4,4.53,2025-07-07 17:52:38.904066,0,0.25,64.44,0,1
E0076,MRI,0,3.83,2025-05-05 17:52:38.904066,0,0.5,21.1,1,0
E0077,Ultrasound,2,5.68,2025-03-13 17:52:38.904066,0,0.08,20.66,1,0
E0078,ECG,5,1.38,2024-09-19 17:52:38.904066,2,0.76,39.04,4,1
E0079,Ultrasound,9,8.29,2025-05-28 17:52:38.904066,1,0.59,27.82,3,1
E0080,ECG,2,2.1,2025-06-13 17:52:38.904066,0,0.39,41.42,1,0
E0081,ECG,3,2.52,2025-05-10 17:52:38.904066,1,0.26,20.34,1,0
E0082,ECG,3,10.61,2024-08-13 17:52:38.904066,1,0.02,58.68,2,1
E0083,Ventilator,3,4.27,2024-12-08 17:52:38.904066,0,0.04,28.68,2,1
E0084,ECG,5,0.34,2024-12-01 17:52:38.904066,1,0.47,49.84,1,1
E0085,Ultrasound,0,19.91,2025-06-23 17:52:38.904066,0,0.17,52.48,3,1
E0086,Ultrasound,4,2.5,2024-10-04 17:52:38.904066,0,0.46,50.81,0,1
E0087,Ultrasound,6,19.58,2024-09-12 17:52:38.904066,1,0.62,39.35,1,1
E0088,ECG,10,8.24,2025-06-21 17:52:38.904066,1,0.43,37.17,0,1
E0089,Ventilator,5,0.66,2024-08-21 17:52:38.904066,0,0.13,37.89,1,1
E0090,Ultrasound,4,12.34,2025-04-29 17:52:38.904066,1,0.28,69.87,3,1
E0091,ECG,6,17.85,2024-10-16 17:52:38.904066,2,0.31,47.79,3,1
E0092,MRI,7,1.53,2025-05-26 17:52:38.904066,0,0.71,53.56,0,1
E0093,Ventilator,2,19.11,2025-01-12 17:52:38.904066,3,0.53,48.62,0,1
E0094,Ultrasound,5,8.06,2025-03-16 17:52:38.904066,0,0.12,24.13,2,0
E0095,Ventilator,8,9.79,2025-02-15 17:52:38.904066,0,0.37,47.47,1,0
E0096,MRI,2,14.16,2024-11-12 17:52:38.904066,0,0.72,25.69,1,1
E0097,ECG,0,10.39,2024-10-18 17:52:38.904066,0,0.62,46.17,1,1
E0098,Ultrasound,13,4.09,2024-10-17 17:52:38.904066,0,0.6,36.71,1,1
E0099,MRI,0,13.91,2024-12-06 17:52:38.904066,0,0.35,35.12,2,1
E0100,Ultrasound,5,4.05,2025-05-23 17:52:38.904066,0,0.75,64.95,1,1
E0101,Ventilator,8,6.21,2025-03-19 17:52:38.904066,0,0.43,22.25,1,0
E0102,Ultrasound,5,7.2,2025-08-01 17:52:38.904066,0,0.42,52.35,1,0
E0103,ECG,3,18.66,2025-05-08 17:52:38.904066,0,0.79,60.05,1,1
E0104,MRI,4,11.46,2024-12-12 17:52:38.904066,1,0.19,54.16,5,1
E0105,Ultrasound,1,3.63,2024-10-12 17:52:38.904066,0,0.29,36.5,1,1
E0106,ECG,4,7.15,2024-09-04 17:52:38.904066,0,0.35,48.11,1,1
E0107,MRI,7,13.9,2025-01-29 17:52:38.904066,2,0.8,20.64,1,1
E0108,ECG,0,19.14,2025-05-18 17:52:38.904066,2,0.34,55.52,2,1
E0109,Ventilator,7,4.23,2024-12-26 17:52:38.904066,0,0.44,55.23,3,1
E0110,Ventilator,3,19.8,2025-02-06 17:52:38.904066,1,0.45,23.11,0,1
E0111,Ventilator,2,14.4,2025-01-10 17:52:38.904066,0,0.58,23.89,1,1
E0112,ECG,3,9.31,2025-05-16 17:52:38.904066,1,0.24,54.26,1,0
E0113,Ultrasound,3,17.49,2025-06-08 17:52:38.904066,2,0.67,42.07,0,1
E0114,MRI,7,10.77,2024-12-05 17:52:38.904066,1,0.61,69.04,3,1
E0115,Ultrasound,3,4.82,2024-08-25 17:52:38.904066,2,0.74,65.58,0,1
E0116,Ventilator,12,16.92,2025-05-25 17:52:38.904066,2,0.01,66.78,3,1
E0117,Ultrasound,7,2.74,2025-05-12 17:52:38.904066,1,0.56,38.21,2,0
E0118,Ultrasound,8,10.13,2025-04-05 17:52:38.904066,0,0.11,36.85,2,0
E0119,MRI,8,2.6,2025-05-10 17:52:38.904066,1,0.12,33.47,0,0
E0120,Ultrasound,10,3.18,2024-12-16 17:52:38.904066,0,0.63,58.75,0,1
E0121,MRI,0,19.43,2024-12-18 17:52:38.904066,0,0.05,45.84,2,1
E0122,MRI,0,17.03,2025-03-19 17:52:38.904066,0,0.07,49.39,3,1
E0123,MRI,4,9.09,2025-03-31 17:52:38.904066,0,0.37,23.9,3,0
E0124,Ventilator,9,1.61,2025-04-20 17:52:38.904066,1,0.21,33.16,0,1
E0125,Ventilator,6,6.61,2024-08-17 17:52:38.904066,0,0.61,37.22,2,1
E0126,Ultrasound,3,7.36,2025-02-01 17:52:38.904066,3,0.12,45.94,2,1
E0127,ECG,6,15.49,2025-07-10 17:52:38.904066,1,0.12,45.49,0,0
E0128,MRI,6,10.66,2024-10-28 17:52:38.904066,0,0.59,56.92,0,1
E0129,Ventilator,2,10.86,2025-01-28 17:52:38.904066,0,0.53,52.58,0,1
E0130,ECG,9,12.61,2024-10-04 17:52:38.904066,0,0.35,59.09,1,1
E0131,ECG,3,14.61,2025-04-15 17:52:38.904066,0,0.57,36.58,3,0
E0132,Ventilator,4,18.04,2024-09-16 17:52:38.904066,2,0.1,38.25,0,1
E0133,Ultrasound,9,15.69,2025-06-01 17:52:38.904066,1,0.47,55.5,1,1
E0134,Ultrasound,15,19.17,2024-12-02 17:52:38.904066,1,0.43,31.18,1,1
E0135,Ultrasound,9,4.65,2025-03-20 17:52:38.904066,0,0.53,51.75,1,1
E0136,MRI,2,9.26,2024-10-21 17:52:38.904066,1,0.61,46.1,3,1
E0137,Ventilator,8,19.46,2025-06-27 17:52:38.904066,2,0.34,35.56,2,1
E0138,MRI,8,18.51,2025-06-15 17:52:38.904066,1,0.75,44.35,2,1
E0139,Ventilator,3,10.46,2025-01-15 17:52:38.904066,0,0.23,65.82,2,1
E0140,Ventilator,4,19.2,2024-10-29 17:52:38.904066,0,0.75,60.27,1,1
E0141,Ventilator,6,16.53,2025-05-13 17:52:38.904066,0,0.34,56.87,2,1
E0142,Ultrasound,3,11.08,2024-11-15 17:52:38.904066,1,0.79,65.1,3,1
E0143,Ventilator,2,16.52,2025-01-27 17:52:38.904066,1,0.59,53.38,1,1
E0144,Ultrasound,0,5.75,2025-03-28 17:52:38.904066,2,0.71,31.89,1,1
E0145,ECG,12,5.85,2025-03-12 17:52:38.904066,1,0.15,30.96,0,1
E0146,MRI,2,16.22,2025-01-03 17:52:38.904066,1,0.2,66.26,0,1
E0147,ECG,1,6.05,2025-02-06 17:52:38.904066,0,0.51,66.08,1,1
E0148,Ultrasound,7,14.56,2024-08-29 17:52:38.904066,1,0.51,47.32,1,1
E0149,Ventilator,9,8.92,2024-08-24 17:52:38.904066,0,0.27,66.34,2,1
E0150,Ultrasound,4,10.21,2024-08-29 17:52:38.904066,0,0.25,41.12,1,1
E0151,Ventilator,4,13.55,2024-10-31 17:52:38.904066,0,0.51,53.44,2,1
E0152,MRI,7,9.83,2025-07-31 17:52:38.904066,2,0.32,44.81,2,0
E0153,Ventilator,7,17.41,2025-05-12 17:52:38.904066,1,0.1,55.32,0,1
E0154,MRI,6,10.06,2025-06-25 17:52:38.904066,0,0.56,38.88,0,0
E0155,Ultrasound,11,17.46,2025-04-06 17:52:38.904066,2,0.06,44.74,0,1
E0156,Ventilator,6,0.81,2025-06-11 17:52:38.904066,1,0.6,54.96,3,0
E0157,Ultrasound,2,9.91,2025-06-22 17:52:38.904066,1,0.7,31.15,2,1
E0158,MRI,4,4.12,2024-12-22 17:52:38.904066,1,0.44,55.08,0,1
E0159,Ventilator,6,17.56,2024-11-09 17:52:38.904066,1,0.48,41.65,2,1
E0160,MRI,0,12.15,2024-10-27 17:52:38.904066,1,0.77,54.07,1,1
E0161,ECG,9,13.79,2025-04-28 17:52:38.904066,0,0.78,68.67,2,1
E0162,Ventilator,2,5.9,2025-07-16 17:52:38.904066,0,0.23,23.67,1,0
E0163,ECG,7,3.39,2025-07-12 17:52:38.904066,1,0.52,22.97,3,0
E0164,Ventilator,11,15.04,2025-07-02 17:52:38.904066,0,0.46,54.75,3,1
E0165,Ultrasound,3,13.33,2025-04-18 17:52:38.904066,2,0.7,42.44,0,1
E0166,Ventilator,10,15.82,2024-08-26 17:52:38.904066,1,0.38,49.66,2,1
E0167,ECG,7,9.78,2025-04-08 17:52:38.904066,0,0.33,51.99,3,0
E0168,ECG,4,17.18,2025-01-22 17:52:38.904066,0,0.11,66.33,1,1
E0169,Ventilator,15,18.11,2025-04-27 17:52:38.904066,0,0.61,22.58,1,1
E0170,Ventilator,6,8.19,2024-12-24 17:52:38.904066,0,0.35,68.09,2,1
E0171,Ultrasound,6,19.77,2024-09-22 17:52:38.904066,1,0.09,36.3,0,1
E0172,MRI,6,2.8,2024-12-20 17:52:38.904066,1,0.01,66.53,1,1
E0173,Ventilator,8,9.96,2024-11-03 17:52:38.904066,1,0.74,66.49,1,1
E0174,ECG,5,9.02,2025-05-20 17:52:38.904066,0,0.74,47.32,0,1
E0175,ECG,2,3.38,2025-01-27 17:52:38.904066,2,0.73,20.48,2,1
E0176,Ventilator,5,9.95,2025-07-16 17:52:38.904066,0,0.18,42.24,3,0
E0177,Ultrasound,7,18.77,2024-12-08 17:52:38.904066,1,0.62,31.99,3,1
E0178,ECG,5,6.03,2024-08-09 17:52:38.904066,0,0.22,58.81,0,1
E0179,MRI,7,17.69,2025-02-12 17:52:38.904066,1,0.78,46.31,2,1
E0180,Ultrasound,7,2.18,2025-04-18 17:52:38.904066,0,0.43,64.21,0,1
E0181,ECG,0,14.78,2024-12-21 17:52:38.904066,0,0.34,23.56,1,1
E0182,Ventilator,8,9.46,2024-10-22 17:52:38.904066,2,0.28,55.41,3,1
E0183,MRI,11,17.93,2024-12-01 17:52:38.904066,0,0.08,68.26,4,1
E0184,MRI,4,13.58,2025-07-12 17:52:38.904066,0,0.53,32.82,3,0
E0185,Ventilator,13,4.62,2025-01-05 17:52:38.904066,0,0.01,58.69,1,1
E0186,Ultrasound,1,0.94,2024-12-29 17:52:38.904066,0,0.69,23.59,0,1
E0187,Ventilator,4,5.59,2024-10-01 17:52:38.904066,2,0.04,49.39,5,1
E0188,ECG,8,9.75,2024-11-21 17:52:38.904066,1,0.26,52.21,1,1
E0189,Ventilator,1,2.63,2025-07-02 17:52:38.904066,1,0.19,58.25,1,0
E0190,Ultrasound,2,2.58,2024-10-15 17:52:38.904066,0,0.42,62.56,2,1
E0191,Ultrasound,3,0.96,2024-08-20 17:52:38.904066,0,0.71,44.91,0,1
E0192,MRI,9,17.56,2025-03-29 17:52:38.904066,0,0.33,54.38,4,1
E0193,Ultrasound,14,12.25,2025-03-12 17:52:38.904066,1,0.78,39.11,1,1
E0194,ECG,6,9.73,2024-08-30 17:52:38.904066,0,0.39,50.73,1,1
E0195,Ultrasound,8,1.81,2025-07-09 17:52:38.904066,1,0.1,40.42,4,1
E0196,Ultrasound,4,3.29,2025-06-23 17:52:38.904066,3,0.04,38.52,3,1
E0197,MRI,5,10.44,2024-11-08 17:52:38.904066,1,0.34,20.48,0,1
E0198,Ultrasound,2,19.24,2024-12-29 17:52:38.904066,0,0.01,40.08,3,1
E0199,MRI,5,8.57,2024-11-29 17:52:38.904066,1,0.59,53.47,0,1
E0200,ECG,7,12.99,2025-07-05 17:52:38.904066,1,0.44,63.55,0,1
E0201,ECG,6,15.78,2025-01-28 17:52:38.904066,1,0.16,22.96,2,1
E0202,MRI,0,5.85,2024-11-06 17:52:38.904066,1,0.23,69.52,0,1
E0203,Ultrasound,3,19.97,2025-01-30 17:52:38.904066,0,0.1,33.85,1,1
E0204,ECG,5,7.58,2024-09-30 17:52:38.904066,0,0.13,40.56,2,1
E0205,MRI,7,17.05,2024-08-14 17:52:38.904066,1,0.17,31.13,1,1
E0206,ECG,1,0.31,2024-08-10 17:52:38.904066,0,0.45,31.31,1,1
E0207,MRI,0,18.78,2024-09-24 17:52:38.904066,1,0.63,58.51,1,1
E0208,Ventilator,5,4.08,2025-02-21 17:52:38.904066,0,0.62,65.81,3,1
E0209,MRI,4,14.95,2024-12-02 17:52:38.904066,0,0.23,47.28,2,1
E0210,Ventilator,10,12.73,2025-02-11 17:52:38.904066,1,0.63,54.85,0,1
E0211,Ventilator,0,3.37,2025-06-29 17:52:38.904066,0,0.71,24.19,0,1
E0212,ECG,10,1.15,2025-06-07 17:52:38.904066,1,0.3,64.71,1,1
E0213,MRI,0,3.33,2025-04-17 17:52:38.904066,1,0.64,47.08,2,1
E0214,ECG,8,15.73,2025-06-22 17:52:38.904066,0,0.47,47.04,0,0
E0215,Ventilator,0,1.49,2025-04-24 17:52:38.904066,3,0.24,43.52,2,1
E0216,Ventilator,0,4.39,2025-02-05 17:52:38.904066,1,0.2,51.63,2,1
E0217,MRI,4,6.83,2024-09-30 17:52:38.904066,0,0.42,41.74,3,1
E0218,MRI,11,2.55,2025-01-01 17:52:38.904066,3,0.08,42.79,2,1
E0219,Ventilator,4,0.51,2025-04-04 17:52:38.904066,0,0.42,53.4,3,0
E0220,Ventilator,1,19.6,2025-02-28 17:52:38.904066,0,0.76,30.88,1,1
E0221,Ventilator,5,14.57,2024-09-19 17:52:38.904066,0,0.27,24.19,4,1
E0222,ECG,8,9.63,2024-08-17 17:52:38.904066,2,0.79,39.97,1,1
E0223,Ultrasound,6,17.71,2024-08-26 17:52:38.904066,1,0.6,28.88,0,1
E0224,ECG,1,10.68,2025-04-02 17:52:38.904066,0,0.09,69.0,0,1
E0225,Ultrasound,2,11.84,2024-11-09 17:52:38.904066,0,0.46,54.11,0,1
E0226,Ventilator,6,13.81,2025-04-27 17:52:38.904066,1,0.66,23.1,0,1
E0227,MRI,0,15.84,2024-08-15 17:52:38.904066,1,0.23,51.08,0,1
E0228,ECG,0,3.77,2024-10-05 17:52:38.904066,1,0.14,42.97,1,1
E0229,Ventilator,0,7.35,2024-11-10 17:52:38.904066,0,0.49,65.31,4,1
E0230,Ultrasound,7,18.56,2025-02-14 17:52:38.904066,0,0.35,20.91,1,1
E0231,MRI,1,8.89,2025-06-13 17:52:38.904066,1,0.17,63.7,3,1
E0232,MRI,10,2.14,2025-01-08 17:52:38.904066,1,0.43,34.19,1,1
E0233,Ultrasound,7,9.99,2025-04-01 17:52:38.904066,1,0.07,23.17,1,0
E0234,MRI,5,14.38,2025-01-03 17:52:38.904066,2,0.14,59.54,7,1
E0235,Ventilator,12,10.8,2025-05-22 17:52:38.904066,1,0.47,59.87,2,1
E0236,MRI,5,19.4,2025-07-06 17:52:38.904066,1,0.67,45.73,1,1
E0237,MRI,13,17.3,2025-08-02 17:52:38.904066,1,0.08,46.79,0,1
E0238,ECG,5,10.09,2024-09-08 17:52:38.904066,0,0.8,57.49,2,1
E0239,Ultrasound,6,19.15,2024-12-11 17:52:38.904066,0,0.25,40.84,1,1
E0240,Ultrasound,5,9.42,2024-12-26 17:52:38.904066,1,0.54,65.74,2,1
E0241,Ultrasound,7,18.54,2025-02-08 17:52:38.904066,2,0.59,22.96,1,1
E0242,Ventilator,5,15.9,2024-08-27 17:52:38.904066,2,0.25,47.52,0,1
E0243,Ultrasound,1,19.21,2025-04-02 17:52:38.904066,0,0.47,51.99,5,1
E0244,MRI,9,3.84,2024-11-17 17:52:38.904066,1,0.25,39.88,1,1
E0245,MRI,0,7.08,2024-12-29 17:52:38.904066,3,0.17,43.97,2,1
E0246,Ultrasound,2,1.61,2024-10-27 17:52:38.904066,0,0.23,32.63,1,1
E0247,Ventilator,4,9.69,2025-07-02 17:52:38.904066,0,0.59,44.04,2,0
E0248,Ventilator,4,12.02,2025-03-19 17:52:38.904066,2,0.77,36.16,3,1
E0249,Ultrasound,2,18.31,2024-09-25 17:52:38.904066,2,0.78,57.35,1,1
E0250,ECG,12,1.36,2024-11-26 17:52:38.904066,0,0.24,51.93,2,1
E0251,Ultrasound,4,12.79,2025-07-06 17:52:38.904066,1,0.51,60.81,1,1
E0252,Ultrasound,3,15.38,2025-06-30 17:52:38.904066,0,0.43,48.17,3,0
E0253,Ventilator,7,10.94,2025-01-31 17:52:38.904066,1,0.01,49.21,0,1
E0254,Ultrasound,8,2.23,2025-02-10 17:52:38.904066,0,0.25,43.96,1,0
E0255,Ultrasound,8,17.18,2025-07-15 17:52:38.904066,1,0.22,48.51,1,1
E0256,ECG,5,5.14,2025-01-27 17:52:38.904066,0,0.52,20.71,3,1
E0257,Ventilator,11,5.48,2025-04-20 17:52:38.904066,0,0.1,53.87,5,1
E0258,Ventilator,10,4.89,2025-01-04 17:52:38.904066,0,0.05,56.66,1,1
E0259,ECG,11,5.5,2025-01-14 17:52:38.904066,0,0.76,68.54,2,1
E0260,ECG,1,19.96,2024-09-19 17:52:38.904066,1,0.33,54.89,4,1
E0261,Ultrasound,9,12.65,2025-07-13 17:52:38.904066,0,0.2,69.27,3,1
E0262,Ventilator,8,12.2,2025-02-12 17:52:38.904066,1,0.04,59.59,0,0
E0263,MRI,5,11.67,2025-01-06 17:52:38.904066,0,0.18,32.02,2,1
E0264,Ventilator,7,10.48,2025-01-14 17:52:38.904066,1,0.04,63.17,2,1
E0265,MRI,0,10.81,2025-06-06 17:52:38.904066,0,0.11,21.19,2,0
E0266,ECG,0,11.18,2024-12-22 17:52:38.904066,2,0.72,38.59,5,1
E0267,Ventilator,8,14.85,2024-08-28 17:52:38.904066,2,0.0,54.93,1,1
E0268,Ventilator,1,15.61,2025-08-05 17:52:38.904066,0,0.69,54.04,2,1
E0269,Ventilator,8,8.19,2024-09-02 17:52:38.904066,1,0.36,26.65,0,1
E0270,ECG,0,11.3,2025-01-02 17:52:38.904066,2,0.48,50.46,2,1
E0271,ECG,1,19.97,2025-01-29 17:52:38.904066,0,0.55,59.26,1,1
E0272,Ventilator,8,5.07,2025-03-08 17:52:38.904066,1,0.03,51.77,0,0
E0273,Ventilator,5,13.65,2025-04-29 17:52:38.904066,2,0.35,35.68,3,0
E0274,Ultrasound,7,19.02,2024-12-09 17:52:38.904066,2,0.56,34.51,2,1
E0275,Ventilator,10,6.76,2025-06-13 17:52:38.904066,1,0.4,36.57,0,1
E0276,ECG,10,5.22,2025-03-08 17:52:38.904066,1,0.26,36.6,0,1
E0277,Ultrasound,0,2.7,2024-08-29 17:52:38.904066,1,0.18,45.72,0,1
E0278,Ultrasound,11,11.49,2024-10-31 17:52:38.904066,2,0.72,43.7,3,1
E0279,ECG,2,0.78,2025-07-14 17:52:38.904066,0,0.12,57.48,1,0
E0280,Ultrasound,4,12.07,2025-02-03 17:52:38.904066,1,0.05,43.72,3,1
E0281,Ventilator,4,17.03,2024-10-22 17:52:38.904066,1,0.4,33.4,2,1
E0282,MRI,6,18.12,2024-11-14 17:52:38.904066,2,0.22,22.01,0,1
E0283,ECG,5,3.53,2025-02-02 17:52:38.904066,0,0.29,50.14,2,1
E0284,Ventilator,6,7.7,2024-10-31 17:52:38.904066,1,0.74,54.68,1,1
E0285,MRI,8,10.26,2025-05-23 17:52:38.904066,1,0.37,66.75,1,1
E0286,MRI,4,2.97,2025-04-10 17:52:38.904066,0,0.18,32.11,1,0
E0287,Ultrasound,7,12.03,2024-09-29 17:52:38.904066,0,0.74,41.4,0,1
E0288,ECG,3,8.88,2025-05-19 17:52:38.904066,0,0.52,47.02,1,0
E0289,Ventilator,3,0.1,2024-09-01 17:52:38.904066,1,0.7,22.07,2,1
E0290,Ventilator,2,16.86,2024-08-31 17:52:38.904066,2,0.69,51.58,0,1
E0291,ECG,1,2.91,2025-07-15 17:52:38.904066,0,0.58,34.49,2,0
E0292,Ventilator,11,4.79,2024-09-25 17:52:38.904066,3,0.27,28.01,1,1
E0293,ECG,9,11.78,2025-02-28 17:52:38.904066,1,0.34,38.62,0,1
E0294,Ultrasound,7,12.25,2025-06-20 17:52:38.904066,2,0.18,50.16,2,0
E0295,ECG,9,7.81,2025-04-28 17:52:38.904066,0,0.61,61.81,2,1
E0296,Ultrasound,3,0.04,2024-09-15 17:52:38.904066,0,0.27,31.07,3,1
E0297,Ventilator,5,10.4,2025-03-04 17:52:38.904066,1,0.77,46.24,1,1
E0298,MRI,3,15.74,2025-03-15 17:52:38.904066,0,0.34,44.21,2,0
E0299,ECG,0,12.66,2025-05-21 17:52:38.904066,4,0.11,26.37,0,1
E0300,Ventilator,3,0.74,2025-05-30 17:52:38.904066,0,0.74,22.37,1,1
E0301,Ventilator,4,11.59,2024-11-01 17:52:38.904066,0,0.24,25.74,4,1
E0302,ECG,9,5.26,2024-08-29 17:52:38.904066,0,0.77,21.55,3,1
E0303,Ultrasound,6,6.27,2024-11-23 17:52:38.904066,0,0.5,67.62,0,1
E0304,MRI,0,14.55,2025-01-07 17:52:38.904066,1,0.21,20.34,1,1
